timestep,reward
52180,-0.0852
52327,-0.0652
52483,-0.064
52642,-0.0755
52788,-0.0803
52947,-0.0785
53088,-0.0822
53243,-0.0796
53384,-0.0738
53545,-0.0673
53706,-0.0706
53866,-0.0696
54017,-0.0554
54167,-0.0736
54316,-0.0745
54490,-0.0811
54639,-0.0759
54802,-0.0872
54947,-0.0669
55099,-0.073
55258,-0.0824
55396,-0.0675
55550,-0.076
55712,-0.0755
55853,-0.0787
56018,-0.0746
56173,-0.0767
56327,-0.0931
56485,-0.0724
56648,-0.0893
56804,-0.0788
56950,-0.0614
57101,-0.0767
57258,-0.0624
57409,-0.072
57568,-0.0659
57728,-0.0597
57884,-0.0683
58037,-0.0727
58191,-0.0723
58351,-0.0851
58516,-0.0438
58668,-0.0771
58818,-0.0701
58962,-0.0629
59111,-0.0604
59270,-0.0748
59431,-0.065
59579,-0.0681
59729,-0.0825
59884,-0.0585
60055,-0.0638
60206,-0.0927
60357,-0.0752
60510,-0.0945
60667,-0.0657
60818,-0.067
60979,-0.0739
61145,-0.0704
61303,-0.0789
61459,-0.0634
61614,-0.0921
61782,-0.0864
61930,-0.0696
62087,-0.0812
62237,-0.0704
62407,-0.0487
62559,-0.0705
62713,-0.0852
62865,-0.0757
63015,-0.0697
63161,-0.0658
63314,-0.0586
63467,-0.082
63619,-0.0831
63776,-0.0776
63945,-0.0663
64090,-0.0749
64246,-0.0726
64399,-0.0669
64560,-0.0573
64730,-0.0796
64885,-0.0585
65031,-0.0743
65187,-0.0517
65341,-0.0654
65483,-0.0822
65637,-0.0752
65798,-0.0646
65949,-0.0634
66104,-0.0697
66249,-0.0833
66406,-0.0708
66551,-0.0715
66690,-0.0793
66842,-0.0683
66997,-0.051
67155,-0.0591
67318,-0.0677
67468,-0.0591
67632,-0.0802
67777,-0.0637
67927,-0.0686
68088,-0.064
68248,-0.0664
68405,-0.0798
68548,-0.0632
68704,-0.085
68867,-0.0508
69036,-0.07
69185,-0.0636
69344,-0.0816
69491,-0.0773
69649,-0.0603
69807,-0.0609
69958,-0.0723
70117,-0.0486
70272,-0.0454
70420,-0.066
70587,-0.0653
70741,-0.0653
70896,-0.0624
71045,-0.0781
71193,-0.0633
71352,-0.0643
71509,-0.0564
71666,-0.0625
71818,-0.0659
71975,-0.0644
72127,-0.0632
72283,-0.0756
72433,-0.0675
72589,-0.0617
72738,-0.0696
72902,-0.063
73040,-0.0676
73206,-0.0819
73359,-0.0626
73501,-0.0631
73656,-0.054
73799,-0.069
73960,-0.0658
74119,-0.0604
74257,-0.0621
74419,-0.061
74580,-0.0575
74725,-0.063
74873,-0.0665
75020,-0.0601
75181,-0.0648
75332,-0.0626
75484,-0.0681
75641,-0.0653
75801,-0.0577
75949,-0.0683
76114,-0.0785
76264,-0.0616
76409,-0.0531
76560,-0.0635
76725,-0.0502
76880,-0.0693
77034,-0.0692
77193,-0.0652
77340,-0.072
77491,-0.054
77642,-0.0802
77784,-0.0654
77941,-0.0619
78091,-0.0532
78245,-0.062
78396,-0.0691
78536,-0.067
78683,-0.0643
78834,-0.0614
78980,-0.0662
79132,-0.0511
79285,-0.0767
79438,-0.0664
79605,-0.0564
79767,-0.0541
79914,-0.0732
80053,-0.068
80221,-0.0395
80371,-0.0668
80515,-0.0555
80670,-0.0628
80827,-0.0708
80981,-0.0555
81121,-0.0535
81273,-0.053
81428,-0.0512
81569,-0.0692
81705,-0.0794
81859,-0.0604
82011,-0.0605
82156,-0.0651
82333,-0.0746
82474,-0.0606
82628,-0.0605
82779,-0.0684
82930,-0.0558
83080,-0.0823
83226,-0.0685
83387,-0.0661
83550,-0.0632
83715,-0.0551
83870,-0.06
84022,-0.0655
84166,-0.0605
84308,-0.0545
84457,-0.0665
84612,-0.0646
84770,-0.0648
84929,-0.0733
85085,-0.0645
85246,-0.057
85407,-0.0593
85565,-0.0631
85716,-0.0709
85868,-0.05
86010,-0.0674
86162,-0.0606
86308,-0.0729
86454,-0.0484
86611,-0.069
86762,-0.0657
86917,-0.0575
87085,-0.0733
87231,-0.0667
87383,-0.0698
87521,-0.0553
87680,-0.0635
87831,-0.0682
87982,-0.0755
88132,-0.0525
88292,-0.063
88437,-0.0523
88589,-0.0633
88739,-0.0542
88886,-0.0616
89042,-0.0595
89203,-0.0589
89359,-0.0697
89508,-0.068
89669,-0.0612
89827,-0.0708
89983,-0.0544
90124,-0.0719
90269,-0.0544
90415,-0.0675
90571,-0.0648
90724,-0.0543
90864,-0.0445
91007,-0.0712
91147,-0.0592
91296,-0.0536
91438,-0.0658
91584,-0.0551
91738,-0.0479
91892,-0.0732
92052,-0.0757
92208,-0.0754
92361,-0.0732
92517,-0.0641
92672,-0.0865
92826,-0.0594
92969,-0.0713
93130,-0.0764
93286,-0.071
93444,-0.0637
93614,-0.0663
93773,-0.064
93912,-0.0715
94069,-0.0749
94220,-0.0786
94375,-0.0659
94529,-0.0793
94678,-0.0621
94832,-0.0724
94982,-0.0655
95131,-0.0658
95285,-0.0586
95442,-0.0653
95594,-0.0503
95751,-0.0725
95908,-0.0581
96067,-0.0792
96208,-0.0532
96343,-0.0599
96494,-0.0764
96642,-0.0735
96793,-0.0739
96942,-0.0627
97105,-0.0568
97241,-0.0672
97389,-0.0591
97531,-0.0588
97682,-0.0787
97845,-0.0704
98000,-0.0743
98146,-0.0812
98297,-0.073
98447,-0.0617
98597,-0.0632
98737,-0.0876
98888,-0.0654
99047,-0.0556
99195,-0.0614
99348,-0.075
99502,-0.0537
99663,-0.0487
99830,-0.0694
99981,-0.059
100128,-0.0674
100290,-0.0569
100447,-0.055
100595,-0.0763
100736,-0.0626
100881,-0.0776
101036,-0.0658
101193,-0.0867
101347,-0.0657
101506,-0.0573
101654,-0.0587
101819,-0.0511
101969,-0.065
102118,-0.0773
102276,-0.0535
102430,-0.0493
102582,-0.0566
102728,-0.0567
102875,-0.067
103021,-0.0711
103178,-0.0582
103332,-0.0617
103472,-0.0672
103617,-0.054
103770,-0.0664
103909,-0.0534
104047,-0.0716
104192,-0.0565
104337,-0.0672
104506,-0.0729
104654,-0.0783
104800,-0.0741
104949,-0.0584
105111,-0.0741
105258,-0.065
105404,-0.0747
105564,-0.0681
105723,-0.0597
105888,-0.0781
106042,-0.0613
106195,-0.0743
106360,-0.062
106512,-0.0718
106662,-0.093
106829,-0.0749
106968,-0.0559
107136,-0.0618
107305,-0.0814
107446,-0.0656
107606,-0.0604
107750,-0.0594
107903,-0.0561
108060,-0.0676
108211,-0.0574
108361,-0.0609
108514,-0.0767
108673,-0.0658
108826,-0.0726
108984,-0.0698
109137,-0.0578
109293,-0.0795
109456,-0.0616
109614,-0.0615
109770,-0.0629
109925,-0.0616
110074,-0.069
110214,-0.065
110369,-0.0638
110520,-0.0754
110677,-0.0614
110819,-0.0706
110968,-0.0796
111121,-0.068
111279,-0.0691
111432,-0.0816
111584,-0.0611
111741,-0.0555
111901,-0.0672
112065,-0.0748
112221,-0.0536
112365,-0.0563
112525,-0.0785
112683,-0.0734
112834,-0.0602
112978,-0.0859
113130,-0.0681
113276,-0.0571
113424,-0.0365
113584,-0.0585
113734,-0.0684
113887,-0.0666
114044,-0.0536
114196,-0.0549
114358,-0.0621
114503,-0.0668
114658,-0.0685
114815,-0.0782
114956,-0.0805
115114,-0.0749
115259,-0.0628
115411,-0.0624
115561,-0.0834
115709,-0.0705
115865,-0.0626
116010,-0.0756
116163,-0.0802
116314,-0.0849
116468,-0.061
116608,-0.0773
116757,-0.0625
116908,-0.0617
117076,-0.0669
117233,-0.0757
117377,-0.0642
117523,-0.0606
117673,-0.0488
117826,-0.0828
117974,-0.0778
118121,-0.0721
118278,-0.0607
118430,-0.0668
118580,-0.0568
118751,-0.0714
118906,-0.0693
119062,-0.085
119224,-0.059
119371,-0.0473
119522,-0.0742
119670,-0.0727
119833,-0.0704
119987,-0.07
120137,-0.0611
120302,-0.0836
120453,-0.0542
120604,-0.0638
120755,-0.0664
120907,-0.0796
121060,-0.0927
121209,-0.0663
121348,-0.0767
121492,-0.0762
121642,-0.0803
121799,-0.0717
121963,-0.0651
122110,-0.0895
122269,-0.0618
122429,-0.068
122577,-0.066
122724,-0.0707
122883,-0.0654
123041,-0.0529
123194,-0.0631
123348,-0.0666
123497,-0.0718
123639,-0.0723
123785,-0.0537
123933,-0.0576
124088,-0.0628
124234,-0.0589
124379,-0.0521
124531,-0.0519
124685,-0.0607
124838,-0.0596
125003,-0.0673
125163,-0.0635
125305,-0.0577
125467,-0.0601
125616,-0.0706
125766,-0.0564
125927,-0.064
126078,-0.0605
126235,-0.0636
126381,-0.0697
126542,-0.0756
126691,-0.0537
126847,-0.0578
127006,-0.0784
127150,-0.0661
127308,-0.0727
127463,-0.0535
127625,-0.0694
127779,-0.0667
127941,-0.0527
128087,-0.0748
128244,-0.0668
128400,-0.0675
128541,-0.0592
128687,-0.0811
128837,-0.0854
128985,-0.059
129135,-0.078
129296,-0.0727
129437,-0.0625
129595,-0.0661
129748,-0.0584
129900,-0.0406
130060,-0.0786
130203,-0.0711
130356,-0.0667
130513,-0.0593
130653,-0.075
130805,-0.07
130955,-0.0726
131092,-0.0642
131231,-0.0481
131377,-0.073
131512,-0.0814
131667,-0.0734
131807,-0.0698
131945,-0.0601
132083,-0.0691
132224,-0.0615
132369,-0.0852
132511,-0.0507
132653,-0.0672
132800,-0.0567
132942,-0.0706
133088,-0.0661
133229,-0.0714
133375,-0.0735
133513,-0.0825
133651,-0.0598
133806,-0.091
133946,-0.0752
134094,-0.0801
134248,-0.0746
134386,-0.0887
134528,-0.0653
134672,-0.0608
134800,-0.0832
134950,-0.0736
135090,-0.0734
135226,-0.0827
135364,-0.0698
135506,-0.0645
135654,-0.0657
135798,-0.0798
135941,-0.0678
136076,-0.0759
136229,-0.0752
136375,-0.0518
136530,-0.0712
136674,-0.06
136823,-0.0679
136979,-0.0853
137124,-0.0747
137270,-0.0763
137410,-0.077
137561,-0.0857
137696,-0.0768
137841,-0.083
137978,-0.0757
138118,-0.081
138266,-0.0651
138411,-0.0638
138557,-0.0504
138710,-0.0617
138847,-0.0601
138990,-0.0728
139139,-0.0751
139280,-0.0706
139417,-0.067
139561,-0.059
139718,-0.063
139869,-0.0743
140013,-0.0696
140163,-0.0709
140299,-0.0653
140439,-0.07
140592,-0.0648
140741,-0.0737
140890,-0.0704
141035,-0.074
141189,-0.0681
141336,-0.0535
141483,-0.0714
141637,-0.0633
141789,-0.0731
141943,-0.0492
142097,-0.0629
142240,-0.0819
142388,-0.0481
142535,-0.0623
142681,-0.062
142831,-0.0643
142975,-0.0579
143127,-0.0707
143269,-0.075
143417,-0.0554
143564,-0.0587
143714,-0.0601
143864,-0.0641
144010,-0.0657
144159,-0.0439
144307,-0.0513
144447,-0.0541
144598,-0.06
144751,-0.0537
144893,-0.0441
145041,-0.0539
145202,-0.0598
145340,-0.0692
145482,-0.0566
145623,-0.0722
145765,-0.0379
145912,-0.05
146064,-0.0461
146217,-0.0553
146355,-0.0634
146506,-0.0707
146664,-0.0717
146811,-0.0556
146960,-0.0654
147109,-0.0572
147251,-0.0725
147400,-0.0708
147543,-0.0711
147689,-0.0626
147837,-0.0716
147979,-0.0692
148140,-0.0665
148295,-0.0539
148444,-0.0673
148589,-0.0632
148725,-0.0746
148866,-0.0481
149013,-0.0714
149159,-0.0637
149314,-0.0605
149459,-0.0513
149607,-0.0534
149752,-0.0625
149894,-0.0733
150039,-0.0545
150181,-0.0723
150331,-0.0526
150475,-0.0814
150614,-0.0661
150764,-0.0664
150908,-0.0661
151058,-0.0576
151207,-0.0686
151356,-0.0529
151498,-0.07
151638,-0.0601
151796,-0.0815
151941,-0.0633
152096,-0.035
152240,-0.0677
152386,-0.0526
152540,-0.0514
152688,-0.0509
152838,-0.0813
152979,-0.0773
153125,-0.0591
153275,-0.063
153422,-0.0574
153576,-0.0462
153721,-0.0792
153871,-0.0646
154025,-0.0515
154172,-0.0671
154325,-0.0531
154475,-0.0672
154625,-0.0519
154775,-0.072
154917,-0.0707
155057,-0.061
155202,-0.0454
155353,-0.0802
155493,-0.0676
155641,-0.065
155781,-0.055
155918,-0.0691
156056,-0.0381
156203,-0.0631
156364,-0.0463
156516,-0.0657
156669,-0.0638
156813,-0.062
156964,-0.0722
157118,-0.0503
157269,-0.0533
157425,-0.0524
157575,-0.0657
157725,-0.0646
157872,-0.0719
158009,-0.0593
158155,-0.0569
158297,-0.0434
158435,-0.0444
158586,-0.0733
158745,-0.0613
158899,-0.054
159047,-0.0644
159198,-0.0667
159328,-0.0646
159467,-0.0716
159618,-0.073
159758,-0.0715
159911,-0.0493
160048,-0.0639
160196,-0.0699
160337,-0.0748
160493,-0.067
160626,-0.0861
160772,-0.0659
160904,-0.083
161045,-0.0742
161189,-0.0712
161327,-0.0828
161465,-0.0547
161613,-0.0811
161758,-0.0794
161896,-0.0769
162048,-0.0715
162191,-0.0561
162334,-0.0709
162471,-0.0755
162614,-0.0752
162780,-0.0651
162931,-0.0609
163078,-0.0441
163209,-0.0592
163351,-0.0425
163493,-0.0541
163627,-0.0728
163764,-0.0607
163902,-0.0489
164048,-0.0744
164188,-0.0751
164315,-0.0802
164460,-0.0765
164606,-0.0738
164749,-0.0786
164880,-0.0781
165020,-0.0777
165155,-0.0669
165290,-0.0785
165437,-0.0741
165584,-0.0608
165732,-0.06
165878,-0.0547
166019,-0.0544
166160,-0.0567
166296,-0.0644
166434,-0.0773
166575,-0.0612
166727,-0.0724
166873,-0.0878
167020,-0.066
167170,-0.0533
167318,-0.0667
167460,-0.067
167606,-0.0725
167758,-0.0652
167916,-0.0659
168059,-0.0639
168201,-0.0591
168344,-0.0718
168487,-0.0679
168629,-0.0662
168779,-0.0575
168918,-0.0612
169061,-0.0688
169212,-0.0556
169350,-0.0549
169487,-0.068
169624,-0.0648
169773,-0.0695
169924,-0.0595
170069,-0.0679
170224,-0.0603
170371,-0.0657
170515,-0.0496
170667,-0.0673
170807,-0.0588
170946,-0.0654
171101,-0.0615
171255,-0.0545
171394,-0.0539
171561,-0.0562
171714,-0.0644
171856,-0.0651
172004,-0.0682
172155,-0.0489
172296,-0.0764
172448,-0.0673
